symbol,timeframe,coverage_status,ready_for_daily_test,lineage,cache_path,cache_start,cache_end,row_count,coverage_reason
VOO,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_VOO_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
VOO,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_VOO_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
IVV,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_IVV_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3980,覆盖目标窗口。
IVV,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_IVV_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
IVV,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_IVV_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
IVV,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_IVV_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
IVV,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_IVV_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLK,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_XLK_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3980,覆盖目标窗口。
XLK,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLK_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLK,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_XLK_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
XLK,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLK_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLK,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLK_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLF,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_XLF_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3978,覆盖目标窗口。
XLF,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLF_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLF,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_XLF_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
XLF,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLF_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLF,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLF_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLE,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_XLE_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3978,覆盖目标窗口。
XLE,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLE_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLE,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_XLE_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
XLE,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLE_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLE,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLE_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLV,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_XLV_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3980,覆盖目标窗口。
XLV,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLV_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLV,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_XLV_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
XLV,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLV_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLV,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLV_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLY,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_XLY_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3979,覆盖目标窗口。
XLY,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLY_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLY,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_XLY_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
XLY,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLY_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLY,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLY_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLI,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_XLI_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3979,覆盖目标窗口。
XLI,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLI_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLI,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_XLI_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
XLI,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLI_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLI,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLI_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLP,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_XLP_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3980,覆盖目标窗口。
XLP,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLP_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLP,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_XLP_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
XLP,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLP_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLP,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLP_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLU,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_XLU_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3979,覆盖目标窗口。
XLU,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLU_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLU,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_XLU_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
XLU,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLU_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLU,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLU_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLC,1d,complete_from_first_available_bar,true,native_daily_cache,local_data/longbridge_history/us_XLC_1d_2010-06-29_2026-04-27_longbridge.csv,2018-06-19,2026-04-27,1972,已从目标起点请求，首根K线晚于目标起点，视作上市/数据起点较晚。
XLC,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLC_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLC,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_XLC_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
XLC,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLC_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLC,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLC_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLB,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_XLB_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3979,覆盖目标窗口。
XLB,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLB_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLB,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_XLB_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
XLB,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLB_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
XLB,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_XLB_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SMH,1d,complete_from_first_available_bar,true,native_daily_cache,local_data/longbridge_history/us_SMH_1d_2010-06-29_2026-04-27_longbridge.csv,2011-12-20,2026-04-27,3607,已从目标起点请求，首根K线晚于目标起点，视作上市/数据起点较晚。
SMH,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_SMH_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SMH,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_SMH_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
SMH,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_SMH_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SMH,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_SMH_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SOXX,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_SOXX_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3981,覆盖目标窗口。
SOXX,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_SOXX_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SOXX,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_SOXX_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
SOXX,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_SOXX_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SOXX,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_SOXX_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
TQQQ,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_TQQQ_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3981,覆盖目标窗口。
TQQQ,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_TQQQ_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
TQQQ,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_TQQQ_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
TQQQ,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_TQQQ_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
TQQQ,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_TQQQ_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SQQQ,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_SQQQ_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3981,覆盖目标窗口。
SQQQ,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_SQQQ_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SQQQ,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_SQQQ_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
SQQQ,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_SQQQ_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SQQQ,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_SQQQ_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
GLD,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_GLD_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3979,覆盖目标窗口。
GLD,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_GLD_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
GLD,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_GLD_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
GLD,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_GLD_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
GLD,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_GLD_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SLV,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_SLV_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3980,覆盖目标窗口。
SLV,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_SLV_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SLV,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_SLV_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
SLV,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_SLV_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
SLV,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_SLV_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
USO,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_USO_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3979,覆盖目标窗口。
USO,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_USO_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
USO,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_USO_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
USO,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_USO_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
USO,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_USO_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
TLT,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_TLT_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3981,覆盖目标窗口。
TLT,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_TLT_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
TLT,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_TLT_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
TLT,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_TLT_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
TLT,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_TLT_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
HYG,1d,complete_for_target_window,true,native_daily_cache,local_data/longbridge_history/us_HYG_1d_2010-06-29_2026-04-27_longbridge.csv,2010-06-29,2026-04-27,3980,覆盖目标窗口。
HYG,5m_current,complete_for_target_window,true,native_current_session_5m_cache,local_data/longbridge_intraday/us_HYG_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
HYG,5m_full_target,start_after_target_or_availability_gap,false,native_full_5m_cache,local_data/longbridge_intraday/us_HYG_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,缓存起点晚于目标起点，尚未确认是上市较晚还是缺口。
HYG,15m_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_HYG_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
HYG,1h_current,complete_for_target_window,true,derived_from_5m_current,local_data/longbridge_intraday/us_HYG_5m_2026-04-27_2026-04-27_longbridge.csv,2026-04-27,2026-04-27,78,覆盖目标窗口。
